Planet Name,    UT Start,    UT Stop, UT 1st Contact, UT 4th Contact, Err(min), Reason,Frac1,Frac2,V mag, J mag,H mag,K mag,Depth, B-V,Chart,Type
Kepler-1081 b, 2018/03/10 10:00, 2018/03/10 12:48, 2018/03/10 11:00, 2018/03/10 12:5,9     12.,0 N/A SUN,0.905,0.702, ----,- 12.39,11.99,11.91,0.0001, -----, Finder, P
Kepler-1351 b, 2018/03/10 11:01, 2018/03/10 12:48, 2018/03/10 11:36, 2018/03/10 12:4,5     10.,0 N/A SUN,1,0.771, ----,- 12.22,11.57,11.47,0.0001, -----, Finder, P
Kepler-605 c,2018/03/10 10:50,2018/03/10 12:48,2018/03/10 11:39,2018/03/10 13:17,17.1, N/A SUN,0.704,0.602,-----,12.87,12.5,12.42,0.0001,-----,Finder,P
Kepler-1559 b, 2018/03/10 11:16, 2018/03/10 12:48, 2018/03/10 12:05, 2018/03/10 13:4,3     18.,7 N/A SUN,0.437,0.469, ----,- 13.15,12.73,12.63,0.0001, -----, Finder, P
Kepler-908 b,2018/03/10 11:23,2018/03/10 12:48,2018/03/10 12:11,2018/03/10 13:48,7, N/A SUN,0.376,0.438,-----,10.41,10.04,9.99,0.0001,-----,Finder,P
Kepler-1340 b, 2018/03/10 11:20, 2018/03/10 12:48, 2018/03/10 12:12, 2018/03/10 13:5,6     11.,6 N/A SUN,0.343,0.421, ----,- 13.56,13.28,13.24,0.0001, -----, Finder, P
Kepler-1258 b, 2018/03/10 11:28, 2018/03/10 12:48, 2018/03/10 12:27, 2018/03/10 14:2,4     15.,4 N/A SUN,0.177,0.339, ----,- 12.76,12.39,12.38,0.0001, -----, Finder, P
Kepler-160 b,2018/03/04 09:36,2018/03/04 11:48,2018/03/04 07:16,2018/03/04 10:17,18.6, OBJ N/A,0.226,0.363,-----,13.46,13.1,13.05,0,-----,Finder,P
Kepler-153 b,2018/03/04 09:00,2018/03/04 12:53,2018/03/04 08:16,2018/03/04 11:21,9.6, OBJ N/A,0.762,0.631,-----,12.95,12.48,12.42,0,-----,Finder,P
Kepler-194 b,2018/03/04 09:39,2018/03/04 11:52,2018/03/04 08:20,2018/03/04 10:41,18, OBJ N/A,0.438,0.469,-----,13.78,13.45,13.51,0,-----,Finder,P
